nplc,samples,elapsed_s,wall_elapsed_s,mean_ohm,std_ohm,rms_about_mean_ohm,sem_ohm,sample_rate_hz,negative_mean_ohm,positive_mean_ohm,compliance_hits
0.01,31,5.026554699999906,5.026612300000124,39086.98312770726,15038.34335247551,14793.801146914955,2700.966199803707,6.167246125860439,48456.080387400034,-91429.37587891355,0
0.03,32,5.091955899999448,5.092011599999751,51164.06559153826,60851.38469464926,59893.035278773765,10757.106690544446,6.284422062650517,60401.29248227851,68365.65242072966,0
0.1,31,5.102676299999075,5.102738200001113,37113.28085456432,8414.451393468462,8277.621926677351,1511.2800839135202,6.075243299287007,40762.27711070468,43133.07811759542,0
0.3,31,5.005027200000768,5.0050922999998875,39191.08115739286,11694.500736307557,11504.333579197435,2100.3943367968604,6.193772533343124,38651.778137197856,42139.13987195917,0
1.0,23,5.213900900000226,5.214194600001065,35265.9254547095,194.14330373481593,189.87589682319822,40.48167722136984,4.411284456902317,34774.236730507124,35769.21296831541,0
3.0,9,5.618956099999195,5.6190122999996674,35232.85405877286,49.13666727646209,46.32649418145796,16.37888909215403,1.6017210029459545,34719.03164165199,35757.88727332491,0
10.0,3,5.213687699999355,5.213744799999404,35252.28501613155,20.064419180830875,16.382529659449094,11.584197815186197,0.5754084580095526,34784.47141135271,35728.96342641302,0
