index,chunk,resistance_ohm,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm,compliance_hit
40,1,15699.6532709,-0.03,-0.0299028432,-1.882678e-06,15883.1426298,0.03,0.030132992,1.941345e-06,15521.7089183,0
41,1,15693.9765798,-0.03,-0.029901595,-1.883988e-06,15871.4360176,0.03,0.0301318203,1.941264e-06,15521.7529919,0
42,1,15689.1498588,-0.03,-0.0299031062,-1.885256e-06,15861.5626737,0.03,0.0301333555,1.941367e-06,15521.7202621,0
43,1,15688.0134676,-0.03,-0.0299039288,-1.884953e-06,15864.5487712,0.03,0.0301336281,1.942017e-06,15516.6654566,0
44,1,15698.2897001,-0.03,-0.0299025897,-1.883351e-06,15877.3323188,0.03,0.0301342163,1.941066e-06,15524.5706741,0
45,1,15688.831506,-0.03,-0.0299047801,-1.885022e-06,15864.4196726,0.03,0.0301321264,1.941707e-06,15518.3693523,0
46,1,15692.990009,-0.03,-0.029902891,-1.883947e-06,15872.4693423,0.03,0.030133059,1.941707e-06,15518.8496514,0
47,1,15694.2772959,-0.03,-0.0299032019,-1.883584e-06,15875.693306,0.03,0.0301322269,1.941723e-06,15518.2932375,0
48,1,15692.4008687,-0.03,-0.0299039097,-1.883321e-06,15878.2861233,0.03,0.0301338194,1.94259e-06,15512.1870287,0
49,1,15677.4304066,-0.03,-0.0299025467,-1.886058e-06,15854.521282,0.03,0.0301340633,1.943435e-06,15505.5678734,0
50,1,15684.4007413,-0.03,-0.0299039336,-1.885292e-06,15861.6986652,0.03,0.0301319686,1.942454e-06,15512.3202918,0
51,2,15680.3224251,-0.03,-0.0299023513,-1.886269e-06,15852.6441881,0.03,0.0301334323,1.942465e-06,15512.985974,0
52,2,15680.7442995,-0.03,-0.0299028009,-1.885967e-06,15855.4210652,0.03,0.0301336571,1.942707e-06,15511.1692602,0
53,2,15690.5412988,-0.03,-0.0299019305,-1.88588e-06,15855.6909772,0.03,0.0301324184,1.940269e-06,15530.0210435,0
54,2,15694.9218768,-0.03,-0.0299027626,-1.883535e-06,15875.8730791,0.03,0.0301321028,1.941579e-06,15519.380257,0
55,2,15685.2446763,-0.03,-0.02990315,-1.884754e-06,15865.8106045,0.03,0.0301325475,1.942773e-06,15510.0711715,0
56,2,15683.5453329,-0.03,-0.0299031261,-1.885604e-06,15858.6458769,0.03,0.0301334227,1.942392e-06,15513.5640489,0
57,2,15684.5732968,-0.03,-0.02990315,-1.885138e-06,15862.5787608,0.03,0.030132801,1.942569e-06,15511.8304678,0
58,2,15695.2593753,-0.03,-0.0299031644,-1.883529e-06,15876.1369748,0.03,0.0301338866,1.941642e-06,15519.7954103,0
59,2,15689.2148908,-0.03,-0.0299012944,-1.885231e-06,15860.8119642,0.03,0.0301344748,1.941332e-06,15522.5766639,0
60,2,15689.6123062,-0.03,-0.0299022509,-1.884458e-06,15867.8256029,0.03,0.0301340349,1.942041e-06,15516.6831699,0
61,2,15696.7963328,-0.03,-0.0299016722,-1.883731e-06,15873.6423619,0.03,0.0301325619,1.940886e-06,15525.1580464,0
62,2,15696.4286872,-0.03,-0.0299025474,-1.883572e-06,15875.4469699,0.03,0.0301333414,1.94124e-06,15522.7284622,0
63,2,15680.6740599,-0.03,-0.0299020357,-1.885589e-06,15858.1937527,0.03,0.0301333223,1.943032e-06,15508.4024864,0
64,2,15686.9217164,-0.03,-0.0299028057,-1.885414e-06,15860.0740739,0.03,0.0301329732,1.941709e-06,15518.7894788,0
65,2,15697.2402979,-0.03,-0.0299004766,-1.883174e-06,15877.7025384,0.03,0.0301337288,1.941333e-06,15522.184396,0
66,2,15680.9173373,-0.03,-0.0299020453,-1.885238e-06,15861.1513772,0.03,0.0301353261,1.943452e-06,15506.0820128,0
67,2,15679.9409737,-0.03,-0.0299011892,-1.885737e-06,15856.5002437,0.03,0.0301341688,1.943063e-06,15508.5907148,0
68,2,15687.932733,-0.03,-0.0299015049,-1.885861e-06,15855.6250434,0.03,0.0301346135,1.941037e-06,15525.0072513,0
69,2,15695.4222278,-0.03,-0.0299028487,-1.884021e-06,15871.8234563,0.03,0.0301335853,1.941071e-06,15524.2056061,0
70,2,15687.0061742,-0.03,-0.0299006775,-1.884945e-06,15862.8912249,0.03,0.0301340128,1.942088e-06,15516.2962749,0
71,2,15680.2007016,-0.03,-0.0299003544,-1.886059e-06,15853.3505049,0.03,0.0301323916,1.942511e-06,15512.0828659,0
72,2,15685.6261642,-0.03,-0.0299020999,-1.88517e-06,15861.7524679,0.03,0.0301321716,1.942173e-06,15514.6691876,0
73,2,15696.5229227,-0.03,-0.0299010143,-1.88346e-06,15875.5770231,0.03,0.0301344815,1.941304e-06,15522.8040018,0
