index,chunk,resistance_ohm,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm,compliance_hit
198,4,15678.9514837,-0.03,-0.0299034003,-1.885555e-06,15859.2034176,0.03,0.030132669,1.943532e-06,15504.0765987,0
199,4,15693.9765792,-0.03,-0.0299021234,-1.882978e-06,15880.2298274,0.03,0.0301336303,1.942423e-06,15513.4233378,0
200,4,15694.0832653,-0.03,-0.029903692,-1.883203e-06,15879.1654431,0.03,0.0301349024,1.942353e-06,15514.6373496,0
201,5,15679.6742218,-0.03,-0.029905465,-1.886439e-06,15852.8661674,0.03,0.030133701,1.942669e-06,15511.4952676,0
202,5,15679.1083088,-0.03,-0.0299046663,-1.885899e-06,15856.9818956,0.03,0.0301333519,1.943274e-06,15506.4864245,0
203,5,15686.0295065,-0.03,-0.0299031598,-1.885424e-06,15860.1777637,0.03,0.0301340358,1.942007e-06,15516.9552942,0
204,5,15687.0713169,-0.03,-0.0299045181,-1.884792e-06,15866.2165905,0.03,0.0301323667,1.942365e-06,15513.2360293,0
205,5,15686.3665283,-0.03,-0.0299038342,-1.884612e-06,15867.3690924,0.03,0.0301319219,1.942645e-06,15510.7710879,0
206,5,15685.2620733,-0.03,-0.0299048815,-1.884832e-06,15866.0726792,0.03,0.0301334236,1.942857e-06,15509.8515228,0
207,5,15692.8681321,-0.03,-0.0299044511,-1.883454e-06,15877.4523296,0.03,0.0301337632,1.942374e-06,15513.8831142,0
208,5,15684.5886974,-0.03,-0.0299045707,-1.884765e-06,15866.4717883,0.03,0.0301331175,1.943049e-06,15508.1613999,0
209,5,15679.2659798,-0.03,-0.0299026433,-1.886493e-06,15850.916648,0.03,0.0301340501,1.942557e-06,15512.5693094,0
210,5,15682.8011548,-0.03,-0.0299032268,-1.885633e-06,15858.4553834,0.03,0.030133108,1.942531e-06,15512.2919531,0
211,5,15695.5173658,-0.03,-0.0299033033,-1.883971e-06,15872.4859884,0.03,0.0301328354,1.941079e-06,15523.7552928,0
212,5,15691.6830742,-0.03,-0.0299037624,-1.88491e-06,15864.8224053,0.03,0.0301323189,1.941071e-06,15523.5531828,0
213,5,15678.5287082,-0.03,-0.0299035616,-1.886467e-06,15851.6218943,0.03,0.0301329741,1.942753e-06,15510.4504278,0
214,5,15683.1646793,-0.03,-0.0299031072,-1.884655e-06,15866.621318,0.03,0.0301328784,1.943398e-06,15505.2533758,0
215,5,15693.6221236,-0.03,-0.0299029972,-1.88318e-06,15878.9904311,0.03,0.0301340214,1.942388e-06,15513.9042251,0
216,5,15680.8233594,-0.03,-0.0299033081,-1.885606e-06,15858.7255768,0.03,0.0301316493,1.942953e-06,15508.1719939,0
217,5,15679.7264884,-0.03,-0.0299031359,-1.88656e-06,15850.6148227,0.03,0.0301324671,1.942308e-06,15513.74298,0
218,5,15695.6357598,-0.03,-0.0299034564,-1.884497e-06,15868.1369087,0.03,0.0301312046,1.94043e-06,15528.106966,0
219,5,15691.0231517,-0.03,-0.0299031025,-1.884033e-06,15871.8570747,0.03,0.0301324624,1.942076e-06,15515.5938285,0
220,5,15688.6196226,-0.03,-0.0299032842,-1.885122e-06,15862.7845837,0.03,0.0301329213,1.941614e-06,15519.5220574,0
221,5,15687.5867021,-0.03,-0.0299044988,-1.884617e-06,15867.6796399,0.03,0.0301325387,1.942424e-06,15512.8533729,0
222,5,15694.0309397,-0.03,-0.0299026719,-1.88341e-06,15876.8785872,0.03,0.0301328974,1.941966e-06,15516.6966878,0
223,5,15696.1647607,-0.03,-0.0299028632,-1.883392e-06,15877.1318982,0.03,0.0301321417,1.941428e-06,15520.6073571,0
224,5,15696.5376161,-0.03,-0.0299039058,-1.883537e-06,15876.4631648,0.03,0.0301339065,1.941371e-06,15521.9721012,0
225,5,15686.0708097,-0.03,-0.0299058331,-1.885278e-06,15862.8239973,0.03,0.0301334186,1.942274e-06,15514.5044417,0
226,5,15694.9200631,-0.03,-0.0299035615,-1.883625e-06,15875.5386555,0.03,0.0301327252,1.94158e-06,15519.6928275,0
227,5,15685.499104,-0.03,-0.0299031406,-1.884686e-06,15866.3780598,0.03,0.0301335621,1.942843e-06,15510.034573,0
228,5,15690.236953,-0.03,-0.0299015481,-1.883697e-06,15873.8629939,0.03,0.0301331269,1.942547e-06,15512.1739139,0
229,5,15681.1395721,-0.03,-0.0299034419,-1.885764e-06,15857.4677955,0.03,0.0301338395,1.942866e-06,15509.9937412,0
230,5,15688.3064054,-0.03,-0.0299027819,-1.88495e-06,15863.9655694,0.03,0.030133433,1.941863e-06,15517.7955396,0
231,5,15691.3920213,-0.03,-0.0299026863,-1.884651e-06,15866.4316629,0.03,0.0301334426,1.941404e-06,15521.4693078,0
232,5,15688.1449534,-0.03,-0.0299034562,-1.885279e-06,15861.554815,0.03,0.0301332704,1.941606e-06,15519.7658021,0
233,5,15680.0154566,-0.03,-0.0299021793,-1.886225e-06,15852.9227955,0.03,0.030133213,1.942559e-06,15512.1224117,0
234,5,15692.2587299,-0.03,-0.0299020598,-1.88373e-06,15873.8565506,0.03,0.0301342938,1.942128e-06,15516.1213885,0
235,5,15687.6398628,-0.03,-0.0299016581,-1.884744e-06,15865.1032183,0.03,0.0301329787,1.942131e-06,15515.420278,0
236,5,15684.0970004,-0.03,-0.0299031071,-1.885116e-06,15862.7411257,0.03,0.0301314913,1.942621e-06,15510.7410555,0
237,5,15690.3355631,-0.03,-0.0299027245,-1.884504e-06,15867.6895883,0.03,0.0301325004,1.941751e-06,15518.2103164,0
238,5,15695.6036035,-0.03,-0.0299013089,-1.883494e-06,15875.4468557,0.03,0.0301318165,1.941343e-06,15521.1194003,0
239,5,15688.2897973,-0.03,-0.0299018924,-1.884368e-06,15868.3932226,0.03,0.0301333804,1.942389e-06,15513.5662321,0
240,5,15681.4544722,-0.03,-0.0299028154,-1.885701e-06,15857.6653457,0.03,0.0301329117,1.942753e-06,15510.4183085,0
241,5,15689.133822,-0.03,-0.0299018302,-1.884227e-06,15869.5476713,0.03,0.0301317304,1.942215e-06,15514.1065227,0
242,5,15696.7702394,-0.03,-0.0299023706,-1.883011e-06,15880.0828036,0.03,0.0301303196,1.941514e-06,15518.9813723,0
243,5,15689.9883652,-0.03,-0.0299042836,-1.884464e-06,15868.853743,0.03,0.0301329548,1.942004e-06,15516.4226232,0
244,5,15681.25319,-0.03,-0.0299022798,-1.885429e-06,15859.6689666,0.03,0.0301316731,1.942961e-06,15508.1203894,0
245,5,15686.6539787,-0.03,-0.029903021,-1.884516e-06,15867.7458828,0.03,0.0301337725,1.942737e-06,15510.9891354,0
246,5,15694.4689727,-0.03,-0.0299031023,-1.883739e-06,15874.3341302,0.03,0.03013284,1.941554e-06,15519.9597848,0
247,5,15689.5162462,-0.03,-0.0299028584,-1.885e-06,15863.5853581,0.03,0.03013295,1.941492e-06,15520.5120598,0
248,5,15678.3788273,-0.03,-0.0299034562,-1.886495e-06,15851.3307483,0.03,0.0301320509,1.942696e-06,15510.4302989,0
249,5,15694.0839146,-0.03,-0.0299034323,-1.88409e-06,15871.5519428,0.03,0.0301332656,1.941345e-06,15521.8498515,0
250,5,15697.0625655,-0.03,-0.0299015863,-1.883286e-06,15877.3475192,0.03,0.0301344038,1.941378e-06,15522.1722921,0
