step,a_target_mm,a_actual_mm,moved_total_mm,count,elapsed_s,median_ohm,mad_sigma_ohm,p95_abs_step_ohm,span_ohm,compliance_hits,polarity_sign_mismatch_count,good_quick
1,0.008,0.008,0.0009999999999999992,25,5.622187299999496,51011.59728579297,3506.5632591662747,5907.163229626545,21889.610651544637,0,0,False
2,0.007,0.007,0.001999999999999999,25,5.339297700000316,333341.15970909136,15893.603839973961,21646.538442312507,45492.6709442861,0,0,False
3,0.006,0.006,0.002999999999999999,25,5.345405600000959,472121.8734906419,14245.244319261064,14230.436057027997,61143.16208595451,0,0,False
4,0.005,0.005,0.003999999999999999,25,5.341320200001064,313881.4046048977,131152.03508679196,192449.4173942151,408087.5280941865,0,0,False
5,0.004,0.004,0.004999999999999999,25,5.344088199999533,88956.97944701175,4557.283489000398,56508.76106741531,96098.42420984698,0,0,False
6,0.003,0.003,0.005999999999999999,25,5.343982399999732,33729.42394788938,27015.12178627992,749186.3351815456,905086.9798886175,0,7,False
7,0.002,0.002,0.006999999999999999,25,5.338816600000428,273159.25370591163,148450.61303814733,157387.20117033157,608781.301452303,0,0,False
8,0.001,0.001,0.008,25,5.341586800001096,567817.5885844887,51738.09968098116,35762.58308457738,178786.39982688084,0,0,False
9,0.0,0.0,0.009,25,5.340464199998678,16990.07062774844,59.44680864680106,73.49774288897345,274.78676612246636,0,0,True
