nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0.1,34,7.1137165000000095,-0.03,-2.212579e-06,-0.030065549,0.03,2.1838e-06,0.0301045871,0.0601701361,4.396379e-06,13686.294129782715
0.1,35,7.1137165000000095,-0.03,-1.833674e-06,-0.0298999706,0.03,2.129164e-06,0.030091683,0.0599916536,3.962838e-06,15138.558174722257
0.1,36,7.1137165000000095,-0.03,-1.844323e-06,-0.0298117375,0.03,2.341604e-06,0.0301374737,0.059949211200000005,4.185927e-06,14321.609335279858
0.1,37,7.1137165000000095,-0.03,-1.431528e-06,-0.0299570592,0.03,2.138361e-06,0.0300766785,0.0600337377,3.5698890000000002e-06,16816.695897267393
0.1,38,7.1137165000000095,-0.03,-1.880873e-06,-0.0298180142,0.03,2.043445e-06,0.0302106753,0.060028689499999996,3.924318e-06,15296.591535140627
0.1,39,7.1137165000000095,-0.03,-1.630117e-06,-0.0299147744,0.03,1.891899e-06,0.0301078578,0.060022632199999995,3.522016e-06,17042.123658722732
0.1,40,7.1137165000000095,-0.03,-2.334392e-06,-0.0299188392,0.03,1.417446e-06,0.0301218457,0.0600406849,3.751838e-06,16003.005700139505
0.1,41,7.1137165000000095,-0.03,-2.55826e-06,-0.0297551689,0.03,2.134723e-06,0.0301960896,0.0599512585,4.692983e-06,12774.65920929183
0.1,42,7.1137165000000095,-0.03,-2.107296e-06,-0.0297965891,0.03,1.843403e-06,0.0301514764,0.059948065499999995,3.950699e-06,15174.040214149445
0.1,43,7.1137165000000095,-0.03,-2.083788e-06,-0.0299073523,0.03,1.911829e-06,0.030122306,0.0600296583,3.995616999999999e-06,15023.876988209833
0.1,44,7.1137165000000095,-0.03,-2.350085e-06,-0.0299011954,0.03,2.18511e-06,0.0301327667,0.060033962100000005,4.535195e-06,13237.349683971694
0.1,45,7.1137165000000095,-0.03,-1.612509e-06,-0.0299897223,0.03,2.480244e-06,0.0299739995,0.0599637218,4.092753e-06,14651.194880316501
0.1,46,7.1137165000000095,-0.03,-1.494173e-06,-0.0298095003,0.03,1.454334e-06,0.0301909793,0.0600004796,2.9485069999999998e-06,20349.444515478513
0.1,47,7.1137165000000095,-0.03,-2.447478e-06,-0.0298632966,0.03,1.847076e-06,0.0302213445,0.0600846411,4.294554e-06,13990.891976209869
0.1,48,7.1137165000000095,-0.03,-2.091037e-06,-0.0298791964,0.03,1.634114e-06,0.0300841631,0.059963359499999994,3.7251509999999996e-06,16096.893656122933
0.1,49,7.1137165000000095,-0.03,-1.73322e-06,-0.0299355136,0.03,2.532322e-06,0.0300588876,0.059994401200000005,4.265542e-06,14064.895199719052
0.1,50,7.1137165000000095,-0.03,-1.834518e-06,-0.0299142942,0.03,2.133974e-06,0.030094632,0.0600089262,3.968492e-06,15121.34236379965
0.1,51,7.1137165000000095,-0.03,-2.003651e-06,-0.0299441807,0.03,2.444748e-06,0.0299980383,0.059942219000000005,4.448399e-06,13475.009548379092
0.1,52,7.1137165000000095,-0.03,-2.122537e-06,-0.0298314488,0.03,1.991432e-06,0.0300915667,0.059923015499999996,4.113969e-06,14565.743081680974
0.1,53,7.1137165000000095,-0.03,-2.040576e-06,-0.0298577182,0.03,2.25042e-06,0.0301720263,0.0600297445,4.290996e-06,13989.69947769702
0.1,54,7.1137165000000095,-0.03,-1.484589e-06,-0.030045297,0.03,1.834394e-06,0.0301039405,0.060149237499999994,3.318983e-06,18122.79168046356
