nplc,pairs,elapsed_s,pairs_per_s,stats_query_s,raw_fetch_s,raw_mean_ohm,raw_std_ohm,raw_sem_ohm,stats_estimated_resistance_ohm,stats_mean_error_ohm,stats_mean_error_percent,voltmeter_mean_v,voltmeter_sdev_v,source_current_mean_a,source_current_sdev_a,post_errors_2182,post_errors_2400
0.1,60,2.184495400000742,27.466297251062933,0.3206952000000456,1.0828166999999667,15446.249742745515,1733.163217354275,223.75040923574576,15081.347187072512,-364.902555673003,-2.3624022772542776,0.0001238472,0.03014149,1.81411e-08,1.998594e-06,,
0.3,60,3.555086399999709,16.877226950097445,0.3113875000008193,1.076896499999748,15303.068500429177,1473.708905094286,190.25500155292454,15036.096013250091,-266.9724871790859,-1.7445683339364164,0.0001247,0.03014008,6.653297e-09,2.004515e-06,,
1.0,60,7.936644899999919,7.559869536307541,0.2752786000000924,1.051200300000346,15135.478787872853,12.83435525066678,1.6569081381714053,15135.458395387677,-0.020392485175761976,-0.00013473300357106141,0.0001240708,0.03014278,4.13389e-09,1.991534e-06,,
2.0,60,15.153613399999813,3.959451677710132,0.2744628999998895,1.0540779999992083,15103.717107114666,12.036996493577508,1.5539695652660919,15103.699613362543,-0.017493752122391015,-0.00011582415109026714,0.0001239803,0.03014197,3.546686e-09,1.995668e-06,,
3.0,60,31.48658660000001,1.905573340236251,0.26810569999997824,1.0472927999999229,15071.34582348233,66.8408929871161,8.629122179491093,15070.77111996316,-0.5747035191707255,-0.0038132196414423234,-0.0001290572,0.03014213,1.239533e-09,2.000039e-06,,
5.0,60,50.82155969999985,1.1806013108251807,0.2682819000001473,1.0477935999997499,15135.539715644545,36.28428278198194,4.684280764789886,15135.406017197156,-0.1336984473891789,-0.0008833411288993163,-0.0001295533,0.03014204,2.928253e-09,1.991492e-06,,
