nplc,rounds,round_mean_sem_ohm,round_mean_std_ohm,round_mean_span_ohm,min_round_n,max_round_n,round_1_mean_ohm,round_2_mean_ohm,round_3_mean_ohm,round_4_mean_ohm,round_5_mean_ohm
0.1,5,722.2319685409437,1614.95977718104,4236.204210527372,72,73,36151.292034006874,39577.550967877774,36682.44831865777,37476.25042089523,35341.3467573504
0.3,5,567.0487848937817,1267.9596295811516,3012.4840261088393,71,75,39724.792440070116,38123.79501304526,39443.45157907451,36712.30841396128,39438.70512857663
0.7,5,108.28511403637657,242.13287593665464,625.3284119156306,64,64,35101.77510912074,35727.10352103637,35482.33938551764,35220.4246434125,35412.90270197128
1.0,5,26.092223400132706,58.34398520680743,138.99225367351755,54,54,35280.0464369224,35218.47893877901,35268.429789021386,35141.05418324888,35181.91299968315
2.0,5,24.64912687505169,55.11712327863254,130.08017418227246,31,31,35249.17866278486,35267.38142072088,35259.18939920431,35269.42498717639,35139.34481299412
3.0,5,19.307459169468277,43.172791175732705,83.32444757188932,20,20,35263.88786394968,35269.27611413199,35264.614748859196,35185.951666560104,35188.47050898404
5.0,5,20.604676937219573,46.07345828604513,100.43769304682792,13,13,35257.7866583941,35247.17384146294,35234.84362072571,35157.34896534727,35171.22136923611
7.0,5,24.048775296246752,53.774696338025386,106.7409649665642,10,10,35269.42951424031,35263.23456891828,35257.838408079944,35168.680488296195,35162.68854927375
10.0,5,20.994156263635535,46.94436053574206,97.06506920733227,7,7,35256.29020454741,35244.63600799304,35235.6591500483,35159.22513534008,35162.563701264786
