nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
10.0,34,102.83848469999975,-0.03,-1.978149e-06,-0.0298980584,0.03,1.982221e-06,0.0301351786,0.060033237,3.96037e-06,15158.492009584965
10.0,35,102.83848469999975,-0.03,-1.979188e-06,-0.0298971693,0.03,1.982252e-06,0.0301356979,0.0600328672,3.96144e-06,15154.304293388263
10.0,36,102.83848469999975,-0.03,-1.978208e-06,-0.0298978011,0.03,1.982596e-06,0.0301360227,0.0600338238,3.960804e-06,15156.97918907373
10.0,37,102.83848469999975,-0.03,-1.97823e-06,-0.029897956,0.03,1.98187e-06,0.0301361207,0.0600340767,3.9600999999999996e-06,15159.737557132397
10.0,38,102.83848469999975,-0.03,-1.977537e-06,-0.0298989063,0.03,1.98066e-06,0.0301362183,0.0600351246,3.958197000000001e-06,15167.290713423306
10.0,39,102.83848469999975,-0.03,-1.977208e-06,-0.0298975251,0.03,1.980802e-06,0.0301362598,0.0600337849,3.95801e-06,15167.668828527467
10.0,40,102.83848469999975,-0.03,-1.976746e-06,-0.0298973125,0.03,1.982135e-06,0.0301356716,0.0600329841,3.958881e-06,15164.12948507419
10.0,41,102.83848469999975,-0.03,-1.977795e-06,-0.0298970413,0.03,1.981751e-06,0.0301361833,0.060033224600000004,3.959546e-06,15161.64343083778
10.0,42,102.83848469999975,-0.03,-1.978578e-06,-0.0298974483,0.03,1.982534e-06,0.0301354803,0.0600329286,3.9611119999999996e-06,15155.57464671537
10.0,43,102.83848469999975,-0.03,-1.978759e-06,-0.0298971021,0.03,1.983918e-06,0.0301351532,0.060032255300000004,3.962677e-06,15149.419268842756
10.0,44,102.83848469999975,-0.03,-1.982988e-06,-0.0298981164,0.03,1.988817e-06,0.030135377,0.0600334934,3.971805e-06,15114.91460431718
10.0,45,102.83848469999975,-0.03,-1.986063e-06,-0.0298982573,0.03,1.990898e-06,0.0301356943,0.0600339516,3.976960999999999e-06,15095.433824973394
10.0,46,102.83848469999975,-0.03,-1.986882e-06,-0.0298980536,0.03,1.990164e-06,0.0301347153,0.0600327689,3.977046e-06,15094.813814072051
10.0,47,102.83848469999975,-0.03,-1.986978e-06,-0.0298980703,0.03,1.991965e-06,0.0301358086,0.060033878900000004,3.978942999999999e-06,15087.896182478617
