pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
35,-0.03,-8.137695e-07,-0.0299014433,0.03,8.441376e-07,0.0301339111,0.060035354400000004,1.6579071000000002e-06,36211.531032106686,56.33759328365704
36,-0.03,-8.136923e-07,-0.0299010272,0.03,8.471646e-07,0.0301354175,0.0600364447,1.6608569e-06,36147.873245431314,63.657786675372336
37,-0.03,-8.14505e-07,-0.0299009985,0.03,8.468552e-07,0.0301341167,0.0600351152,1.6613602e-06,36136.12219673976,11.751048691556207
38,-0.03,-8.140557e-07,-0.0299010846,0.03,8.473033e-07,0.0301355849,0.0600366695,1.661359e-06,36137.083857251804,0.9616605120463646
39,-0.03,-8.149108e-07,-0.0299019502,0.03,8.659651e-07,0.0301348867,0.0600368369,1.6808759000000001e-06,35717.59039438902,419.4934628627816
40,-0.03,-8.110504e-07,-0.0299022419,0.03,8.48822e-07,0.0301335811,0.060035823,1.6598724e-06,36168.93864853708,451.3482541480553
41,-0.03,-8.11553e-07,-0.0299009507,0.03,8.453296e-07,0.0301342793,0.06003523,1.6568826e-06,36233.84662256698,64.90797402990574
42,-0.03,-8.117042e-07,-0.0298995494,0.03,8.498222e-07,0.0301354558,0.0600350052,1.6615264e-06,36132.441350314984,101.40527225199912
43,-0.03,-8.180644e-07,-0.0299018163,0.03,8.484991e-07,0.0301360106,0.060037826899999994,1.6665635e-06,36024.92608292453,107.51526739045221
44,-0.03,-8.135264e-07,-0.0298998842,0.03,8.450284e-07,0.0301359532,0.0600358374,1.6585548e-06,36197.68089664568,172.75481372114882
45,-0.03,-8.173697e-07,-0.0299013046,0.03,8.450318e-07,0.0301347815,0.0600360861,1.6624014999999999e-06,36114.0711795556,83.609717090083
46,-0.03,-8.195191e-07,-0.029901032,0.03,8.492048e-07,0.0301356327,0.060036664700000006,1.6687239e-06,35977.590241261605,136.48093829399295
47,-0.03,-8.156514e-07,-0.0299004772,0.03,8.454788e-07,0.0301341932,0.060034670400000004,1.6611302e-06,36140.85783281768,163.26759155607579
48,-0.03,-8.211259e-07,-0.0299013715,0.03,8.461902e-07,0.0301358001,0.060037171599999994,1.6673161e-06,36008.27197674154,132.58585607614077
49,-0.03,-8.145475e-07,-0.0298996642,0.03,8.46979e-07,0.0301355323,0.0600351965,1.6615265e-06,36132.55431074978,124.28233400823956
50,-0.03,-8.1128e-07,-0.0299011611,0.03,8.418774e-07,0.0301356519,0.060036813,1.6531574000000002e-06,36316.45298868698,183.89867793719895
51,-0.03,-8.089055e-07,-0.0299015437,0.03,8.400098e-07,0.0301374118,0.060038955500000005,1.6489153e-06,36411.182248111836,94.72925942485745
52,-0.03,-8.120111e-07,-0.0299007498,0.03,8.459618e-07,0.0301359914,0.0600367412,1.6579729e-06,36210.93034753463,200.25190057720465
53,-0.03,-8.124694e-07,-0.0299004868,0.03,8.441726e-07,0.0301345806,0.0600350674,1.656642e-06,36239.01084241496,28.080494880327024
54,-0.03,-8.121881e-07,-0.0298996834,0.03,8.434411e-07,0.030135451,0.0600351344,1.6556292e-06,36261.219843187115,22.209000772156287
55,-0.03,-8.145013e-07,-0.0299006877,0.03,8.462559e-07,0.030133385,0.060034072699999996,1.6607572e-06,36148.61504137992,112.60480180719605
56,-0.03,-8.163423e-07,-0.0299008598,0.03,8.514861e-07,0.0301363597,0.0600372195,1.6678284e-06,35997.24018370235,151.3748576775688
57,-0.03,-8.172642e-07,-0.0299014669,0.03,8.448451e-07,0.0301358954,0.0600373623,1.6621093e-06,36121.18787855889,123.94769485654251
58,-0.03,-8.206412e-07,-0.0299008978,0.03,8.449135e-07,0.0301357567,0.060036654499999995,1.6655547e-06,36046.04189823366,75.14598032522917
59,-0.03,-8.139914e-07,-0.0299004818,0.03,8.458346e-07,0.0301364836,0.0600369654,1.659826e-06,36170.63800663443,124.59610840076493
60,-0.03,-8.165371e-07,-0.0298989992,0.03,8.448658e-07,0.0301354315,0.0600344307,1.6614029e-06,36134.78145487768,35.85655175674765
61,-0.03,-8.170462e-07,-0.0299009839,0.03,8.469672e-07,0.0301342407,0.0600352246,1.6640134e-06,36078.570400935474,56.21105394220649
62,-0.03,-8.177639e-07,-0.0298993723,0.03,8.337287e-07,0.0301354171,0.060034789399999997,1.6514926e-06,36351.83675664062,273.2663557051492
63,-0.03,-8.290659e-07,-0.0299003048,0.03,8.408792e-07,0.030134585,0.0600348898,1.6699451e-06,35950.21764487946,401.61911176115973
64,-0.03,-8.467739e-07,-0.0299007831,0.03,8.38552e-07,0.0301371293,0.060037912400000004,1.6853259e-06,35623.91843619089,326.2992086885715
65,-0.03,-8.381185e-07,-0.0298998983,0.03,8.34288e-07,0.0301351445,0.0600350428,1.6724065e-06,35897.398628862065,273.4801926711734
66,-0.03,-8.378929e-07,-0.0299003909,0.03,8.346015e-07,0.0301362158,0.0600366067,1.6724944e-06,35896.4470673265,0.9515615355630871
67,-0.03,-8.376751e-07,-0.0298994153,0.03,8.380389e-07,0.0301336572,0.0600330725,1.675714e-06,35825.36906655909,71.07800076741114
68,-0.03,-8.552058e-07,-0.0298991331,0.03,8.533636e-07,0.0301349533,0.0600340864,1.7085694e-06,35137.04880820176,688.3202583573293
69,-0.03,-8.382173e-07,-0.0298998792,0.03,8.374436e-07,0.0301354937,0.0600353729,1.6756609e-06,35827.87716774916,690.8283595473986
70,-0.03,-8.351622e-07,-0.0298995875,0.03,8.505776e-07,0.0301352258,0.0600348133,1.6857398e-06,35613.33326768461,214.54390006454923
71,-0.03,-8.36824e-07,-0.0299001422,0.03,8.400741e-07,0.0301360723,0.060036214500000004,1.6768980999999999e-06,35801.94556842781,188.6123007431961
72,-0.03,-8.338386e-07,-0.0299012278,0.03,8.382951e-07,0.0301348672,0.060036095,1.6721337e-06,35903.88436044319,101.9387920153822
73,-0.03,-8.588457e-07,-0.0299006252,0.03,8.534478e-07,0.0301347859,0.0600354111,1.7122935e-06,35061.40220703986,842.4821534033326
74,-0.03,-8.575019e-07,-0.0298986932,0.03,8.597177e-07,0.0301359002,0.0600345934,1.7172196e-06,34960.34717982488,101.0550272149776
75,-0.03,-8.291249e-07,-0.0299004483,0.03,8.359259e-07,0.0301358332,0.0600362815,1.6650508000000002e-06,36056.72661759028,1096.3794377653976
76,-0.03,-8.372562e-07,-0.0299002713,0.03,8.52673e-07,0.0301356658,0.0600359371,1.6899292e-06,35525.71143217124,531.0151854190335
77,-0.03,-8.362168e-07,-0.0299012996,0.03,8.397702e-07,0.0301341785,0.0600354781,1.675987e-06,35820.96883806378,295.2574058925384
78,-0.03,-8.401714e-07,-0.0298995157,0.03,8.513024e-07,0.0301359623,0.060035478,1.6914738e-06,35492.99906389327,327.9697741705095
79,-0.03,-8.40624e-07,-0.0298981958,0.03,8.456e-07,0.0301349628,0.0600331586,1.6862239999999999e-06,35602.125577621955,109.12651372868277
80,-0.03,-8.437097e-07,-0.0298981049,0.03,8.532051e-07,0.030135135,0.0600332399,1.6969148000000001e-06,35377.87512961758,224.25044800437172
81,-0.03,-8.439737e-07,-0.0298996401,0.03,8.557591e-07,0.0301358428,0.0600354829,1.6997328e-06,35320.54149922859,57.333630388995516
82,-0.03,-8.479062e-07,-0.0298993866,0.03,8.46651e-07,0.0301352498,0.0600346364,1.6945572e-06,35427.91969489139,107.37819566280086
83,-0.03,-8.395415e-07,-0.0298998888,0.03,8.427328e-07,0.0301357184,0.0600356072,1.6822743e-06,35687.16897119572,259.24927630433376
84,-0.03,-8.481992e-07,-0.0299009074,0.03,8.596651e-07,0.030135355,0.0600362624,1.7078643e-06,35152.82941390601,534.3395572897134
85,-0.03,-8.533592e-07,-0.0298997788,0.03,8.545482e-07,0.0301351541,0.0600349329,1.7079074e-06,35151.1638745754,1.665539330606407
86,-0.03,-8.423575e-07,-0.0299002283,0.03,8.498885e-07,0.0301361345,0.06003636280000001,1.692246e-06,35477.32587342503,326.16199884962407
87,-0.03,-8.566254e-07,-0.0298990901,0.03,8.696034e-07,0.030136608,0.0600356981,1.7262288e-06,34778.5288369653,698.7970364597277
88,-0.03,-8.435429e-07,-0.0299010604,0.03,8.637326e-07,0.0301352163,0.0600362767,1.7072755e-06,35164.96119109072,386.4323541254198
89,-0.03,-8.265488e-07,-0.0299022369,0.03,8.661379e-07,0.0301346233,0.0600368602,1.6926867e-06,35468.38301500213,303.4218239114125
90,-0.03,-8.284194e-07,-0.0298996305,0.03,9.290807e-07,0.0301369762,0.060036606699999995,1.7575001e-06,34160.22946456731,1308.1535504348212
91,-0.03,-8.37429e-07,-0.02990129,0.03,9.119682e-07,0.0301330881,0.0600343781,1.7493972e-06,34317.17971196021,156.95024739290238
92,-0.03,-8.293629e-07,-0.0298995922,0.03,8.67789e-07,0.0301341976,0.0600337898,1.6971519e-06,35373.25668963397,1056.076977673758
93,-0.03,-8.282821e-07,-0.0299009122,0.03,8.657212e-07,0.0301349054,0.0600358176,1.6940033e-06,35440.20109051736,66.94440088338888
94,-0.03,-8.291569e-07,-0.0298993005,0.03,8.85972e-07,0.0301355989,0.0600348994,1.7151289000000001e-06,35003.1413965446,437.05969397276203
95,-0.03,-8.331741e-07,-0.029901247,0.03,8.69732e-07,0.0301359241,0.060037171099999995,1.7029061e-06,35255.71439317764,252.57299663304002
96,-0.03,-8.324387e-07,-0.0299009887,0.03,8.685369e-07,0.0301348433,0.060035832,1.7009756e-06,35294.940150816976,39.22575763933855
