index,differential_resistance_ohm,negative_voltage_v,positive_voltage_v,negative_current_a,positive_current_a,compliance_hit
120,16857.461924629326,-0.029900362,0.0301328697,-1.806113e-06,1.755113e-06,0
121,16778.324684384155,-0.0299001803,0.0301340748,-1.820474e-06,1.75761e-06,0
122,16775.448811148202,-0.0299003094,0.030132664,-1.821022e-06,1.757599e-06,0
123,16764.8104994288,-0.0299019258,0.0301340509,-1.822156e-06,1.758915e-06,0
124,16768.892614178625,-0.0299019258,0.0301362938,-1.822887e-06,1.757446e-06,0
125,16755.63252659804,-0.0299002568,0.0301331136,-1.824134e-06,1.758743e-06,0
126,16750.067027962028,-0.0299026814,0.0301350026,-1.824664e-06,1.759661e-06,0
127,16756.127348777027,-0.0299007829,0.0301334388,-1.824412e-06,1.75841e-06,0
128,16770.2713853463,-0.0299005007,0.0301358634,-1.823088e-06,1.75684e-06,0
129,16755.95934297243,-0.0299024662,0.0301349069,-1.82379e-06,1.759256e-06,0
130,16774.260474067763,-0.0299009263,0.03013385,-1.822315e-06,1.756667e-06,0
131,16761.985342219174,-0.0298999651,0.0301344096,-1.819701e-06,1.761878e-06,0
132,16733.09523537444,-0.0299009215,0.0301353995,-1.825386e-06,1.762493e-06,0
133,16725.023359291816,-0.0299017728,0.0301340031,-1.828122e-06,1.761456e-06,0
134,16762.564033977975,-0.0299012706,0.0301338022,-1.823229e-06,1.758268e-06,0
135,16761.421013398252,-0.0299012467,0.0301349787,-1.823229e-06,1.758581e-06,0
136,16781.737121420712,-0.0298996638,0.0301345674,-1.820313e-06,1.757042e-06,0
137,16772.587501009228,-0.0299018876,0.0301351365,-1.821814e-06,1.757659e-06,0
138,16760.29187075053,-0.0299015767,0.0301348782,-1.821288e-06,1.760777e-06,0
139,16764.27952119706,-0.0299020836,0.0301338357,-1.820699e-06,1.760482e-06,0
140,16749.4792096776,-0.0299008307,0.0301353326,-1.822748e-06,1.761612e-06,0
141,16740.89215173947,-0.0298991377,0.0301352752,-1.82421e-06,1.761884e-06,0
142,16728.387110976248,-0.0299000272,0.0301341226,-1.825795e-06,1.762964e-06,0
143,16729.660184759978,-0.0299018015,0.0301351939,-1.826872e-06,1.761784e-06,0
144,16740.37932535443,-0.0299005724,0.0301339266,-1.825327e-06,1.760882e-06,0
145,16756.23875231652,-0.0299022319,0.0301347013,-1.824105e-06,1.758855e-06,0
146,16721.43640761624,-0.0299024423,0.0301356243,-1.822886e-06,1.767599e-06,0
147,16689.032989595005,-0.0299018015,0.0301354426,-1.830037e-06,1.76737e-06,0
148,16739.48977631498,-0.0299021697,0.0301327884,-1.826472e-06,1.759955e-06,0
149,16752.43584670738,-0.0299018254,0.0301335774,-1.824234e-06,1.759448e-06,0
150,16756.368412562053,-0.0299022223,0.0301344717,-1.823739e-06,1.759179e-06,0
151,16754.649245827244,-0.0299010841,0.0301319132,-1.82312e-06,1.759945e-06,0
152,16781.496251614237,-0.0298997833,0.0301366908,-1.824363e-06,1.753177e-06,0
153,16808.15407254274,-0.0299010554,0.0301342757,-1.81696e-06,1.754838e-06,0
154,16816.35128325573,-0.0299016819,0.030134357,-1.817e-06,1.753099e-06,0
155,16804.454101412153,-0.0299005294,0.0301342231,-1.820118e-06,1.752432e-06,0
156,16826.090803555864,-0.0298994295,0.0301354904,-1.818634e-06,1.749332e-06,0
157,16838.63843025855,-0.0299015145,0.0301337209,-1.816277e-06,1.749049e-06,0
158,16773.30348878371,-0.0299013711,0.0301338548,-1.820117e-06,1.759096e-06,0
159,16753.732230877275,-0.0299001229,0.0301350839,-1.823168e-06,1.760225e-06,0
160,16761.590025049612,-0.0298996542,0.0301351987,-1.822804e-06,1.758888e-06,0
161,16761.6167442489,-0.0299019067,0.0301347013,-1.823444e-06,1.758347e-06,0
162,16769.90470955044,-0.0299006633,0.0301356291,-1.822509e-06,1.757493e-06,0
163,16764.97011113069,-0.0299025539,0.0301344638,-1.823484e-06,1.757615e-06,0
164,16775.021563701564,-0.0299015783,0.0301350664,-1.821252e-06,1.757679e-06,0
165,16781.546433710773,-0.0299009088,0.0301341338,-1.821896e-06,1.755548e-06,0
166,16784.033906635144,-0.0299014492,0.0301350233,-1.817448e-06,1.759551e-06,0
167,16760.24869412136,-0.0299018796,0.0301345212,-1.822746e-06,1.759325e-06,0
168,16785.34116621472,-0.0299027834,0.0301336317,-1.822343e-06,1.754374e-06,0
169,16780.106320092233,-0.0299015926,0.0301355303,-1.820149e-06,1.757726e-06,0
170,16814.323408994027,-0.0299000001,0.0301340956,-1.820945e-06,1.749469e-06,0
171,16796.836847434362,-0.0299008705,0.0301347029,-1.822006e-06,1.752213e-06,0
172,16840.3155225906,-0.0299036204,0.0301343442,-1.816996e-06,1.748137e-06,0
173,16795.270425261697,-0.0299020852,0.0301366398,-1.818783e-06,1.755957e-06,0
174,16791.00954842174,-0.0299013535,0.0301342295,-1.820809e-06,1.754651e-06,0
175,16785.250506123102,-0.0299019944,0.0301337943,-1.822028e-06,1.754671e-06,0
176,16788.432220724924,-0.0299015831,0.0301350425,-1.821737e-06,1.754334e-06,0
177,16794.89442091591,-0.029900751,0.0301345977,-1.818717e-06,1.755902e-06,0
178,16772.37256206262,-0.0299002297,0.0301349516,-1.82075e-06,1.758659e-06,0
179,16763.640206676355,-0.0299027308,0.0301353246,-1.822581e-06,1.758864e-06,0
180,16766.82867282854,-0.0299011957,0.0301362572,-1.823647e-06,1.757081e-06,0
181,16779.38117707098,-0.0299015018,0.0301359798,-1.821758e-06,1.756293e-06,0
182,16775.069908342397,-0.02990231,0.0301351955,-1.820722e-06,1.75825e-06,0
183,16784.96526576922,-0.0299014922,0.0301338134,-1.820175e-06,1.756556e-06,0
184,16796.09171304969,-0.0299030513,0.0301359894,-1.818683e-06,1.755901e-06,0
185,16790.225901196824,-0.0299007653,0.0301349373,-1.820319e-06,1.755315e-06,0
186,16782.54891064,-0.0299012196,0.0301339521,-1.820133e-06,1.757105e-06,0
187,16780.14834947375,-0.0299035582,0.0301319196,-1.820572e-06,1.757196e-06,0
188,16788.186949778836,-0.0299020231,0.0301335743,-1.819653e-06,1.756409e-06,0
189,16787.83041706411,-0.0299005453,0.030132283,-1.818965e-06,1.757008e-06,0
190,16776.007524526383,-0.0299024487,0.0301337991,-1.821655e-06,1.757042e-06,0
191,16790.322041146115,-0.0299022574,0.0301332013,-1.82038e-06,1.755219e-06,0
192,16766.072750661122,-0.0299005836,0.0301327039,-1.821623e-06,1.759018e-06,0
193,16802.476233869857,-0.0299019609,0.0301340764,-1.818946e-06,1.754101e-06,0
194,16806.70684561218,-0.0299035056,0.0301331773,-1.817611e-06,1.754575e-06,0
195,16806.779193192866,-0.0299029413,0.0301351429,-1.818138e-06,1.754116e-06,0
196,16809.484138272423,-0.029902157,0.0301348655,-1.817157e-06,1.754459e-06,0
197,16797.968872194124,-0.0299013296,0.0301341912,-1.818588e-06,1.755387e-06,0
198,16792.956896667474,-0.0299006936,0.0301331869,-1.81936e-06,1.755584e-06,0
199,16780.563862994524,-0.0299023435,0.0301348894,-1.818378e-06,1.759406e-06,0
200,16775.418697504763,-0.0299019418,0.0301335408,-1.821477e-06,1.7573e-06,0
201,16775.338672514394,-0.0299021904,0.0301338278,-1.819755e-06,1.759071e-06,0
202,16789.421923628805,-0.0299016596,0.0301352481,-1.821406e-06,1.754471e-06,0
203,16795.31005608238,-0.0299004162,0.0301354777,-1.818769e-06,1.755794e-06,0
204,16779.6227903264,-0.0299017839,0.0301340956,-1.819573e-06,1.758331e-06,0
205,16801.843349311435,-0.0299024152,0.0301343347,-1.819096e-06,1.754128e-06,0
206,16781.678729549632,-0.0299025348,0.0301339712,-1.817386e-06,1.760117e-06,0
207,16779.93976142708,-0.0298995984,0.0301352338,-1.819832e-06,1.757942e-06,0
208,16769.93801606722,-0.0299014826,0.0301342247,-1.820386e-06,1.759574e-06,0
