round,nplc,pair,t_s,pair_elapsed_s,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0,1.0,29,5.030195899999853,0.16342019999956392,-0.03,-2.011626e-06,-0.0298976557,0.03,2.062105e-06,0.0301361622,0.0600338179,4.0737309999999994e-06,14736.814458293886
0,1.0,30,5.194258300000001,0.1640586000003168,-0.03,-2.010559e-06,-0.0298966227,0.03,2.062784e-06,0.0301345027,0.060031125399999996,4.073343e-06,14737.557185829919
0,1.0,31,5.362963499999751,0.16870079999989684,-0.03,-2.010019e-06,-0.0298969383,0.03,2.062653e-06,0.0301350574,0.0600319957,4.072672e-06,14740.198989754146
0,1.0,32,5.531878499999948,0.16891120000036608,-0.03,-2.010173e-06,-0.0298984782,0.03,2.063245e-06,0.0301374726,0.0600359508,4.073418e-06,14738.470444231356
0,1.0,33,5.699924200000169,0.16804140000022016,-0.03,-2.0122e-06,-0.0298968905,0.03,2.062779e-06,0.0301374391,0.0600343296,4.074979e-06,14732.426743794262
0,1.0,34,5.867849500000375,0.16792100000020582,-0.03,-2.010147e-06,-0.029896661,0.03,2.062724e-06,0.0301364539,0.060033114900000004,4.072871e-06,14739.753579231947
0,1.0,35,6.041583100000025,0.17372729999988223,-0.03,-2.010453e-06,-0.0298969814,0.03,2.061841e-06,0.0301354687,0.0600324501,4.072294e-06,14741.678793328772
0,1.0,36,6.206213399999797,0.16462649999994028,-0.03,-2.009537e-06,-0.0298982248,0.03,2.06213e-06,0.0301356744,0.060033899200000004,4.071667e-06,14744.30477737988
0,1.0,37,6.37274460000026,0.1665272999998706,-0.03,-2.009044e-06,-0.0298972014,0.03,2.062617e-06,0.0301365639,0.0600337653,4.071661e-06,14744.293618746746
0,1.0,38,6.546089399999801,0.17334149999987858,-0.03,-2.010746e-06,-0.0298983013,0.03,2.062864e-06,0.0301362339,0.0600345352,4.07361e-06,14737.428276148183
0,1.0,39,6.709693200000402,0.1636000000007698,-0.03,-2.009446e-06,-0.0298985978,0.03,2.061804e-06,0.0301358848,0.060034482599999994,4.07125e-06,14745.9582683451
0,1.0,40,6.875273100000413,0.16557670000020153,-0.03,-2.009656e-06,-0.0298985117,0.03,2.06152e-06,0.0301359948,0.0600345065,4.071176e-06,14746.232169771092
0,1.0,41,7.042664399999921,0.16738619999978255,-0.03,-2.008843e-06,-0.0298986409,0.03,2.062991e-06,0.0301372813,0.060035922199999994,4.071834e-06,14744.19689014827
0,1.0,42,7.217862399999831,0.17519399999946472,-0.03,-2.008944e-06,-0.0298980858,0.03,2.062204e-06,0.0301364438,0.0600345296,4.071148e-06,14746.339263519772
0,1.0,43,7.38575579999997,0.16788999999971566,-0.03,-2.009458e-06,-0.0298983919,0.03,2.062936e-06,0.0301371276,0.0600355195,4.0723940000000004e-06,14742.070511841437
0,1.0,44,7.544509000000289,0.15874930000063614,-0.03,-2.01154e-06,-0.0298986023,0.03,2.062893e-06,0.0301371755,0.060035777799999995,4.074433e-06,14734.756418868588
0,1.0,45,7.715258299999732,0.1707416999997804,-0.03,-2.010434e-06,-0.0298974546,0.03,2.062218e-06,0.0301356212,0.0600330758,4.0726519999999995e-06,14740.536584024368
0,1.0,46,7.878679700000248,0.16341760000068462,-0.03,-2.009478e-06,-0.0298982436,0.03,2.062723e-06,0.030137142,0.0600353856,4.072201e-06,14742.73632367361
0,1.0,47,8.046645800000078,0.16796200000044337,-0.03,-2.00941e-06,-0.0298969381,0.03,2.062027e-06,0.0301376441,0.0600345822,4.071437e-06,14745.305453578183
