pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
36,63.04379609999978,-0.03,-1.987595e-06,-0.029879161,0.03,1.999854e-06,0.0301510882,0.0600302492,3.987449e-06,15054.800500269721
37,63.04379609999978,-0.03,-1.98826e-06,-0.0298789952,0.03,1.999575e-06,0.0301516525,0.0600306477,3.987835e-06,15053.443209159857
38,63.04379609999978,-0.03,-1.9885e-06,-0.0298788797,0.03,1.999092e-06,0.0301511097,0.0600299894,3.987592e-06,15054.19546433035
39,63.04379609999978,-0.03,-1.987452e-06,-0.029878698,0.03,2.000096e-06,0.0301506522,0.0600293502,3.987548e-06,15054.20127858022
40,63.04379609999978,-0.03,-1.987212e-06,-0.0298787362,0.03,2.000174e-06,0.0301515194,0.0600302556,3.987386e-06,15055.039968540792
41,63.04379609999978,-0.03,-1.988443e-06,-0.029878749,0.03,1.999912e-06,0.0301515465,0.0600302955,3.988355e-06,15051.392240660622
42,63.04379609999978,-0.03,-1.989786e-06,-0.0298792336,0.03,2.000058e-06,0.0301514987,0.0600307323,3.989844e-06,15045.884575938308
43,63.04379609999978,-0.03,-1.988725e-06,-0.0298795109,0.03,2.000848e-06,0.0301516543,0.0600311652,3.989573e-06,15047.015106629206
44,63.04379609999978,-0.03,-1.988642e-06,-0.029879684,0.03,2.000402e-06,0.0301517213,0.0600314053,3.989044e-06,15049.070729728728
45,63.04379609999978,-0.03,-1.988708e-06,-0.0298785857,0.03,2.000494e-06,0.0301512893,0.060029874999999996,3.9892019999999995e-06,15048.091071848456
46,63.04379609999978,-0.03,-1.987847e-06,-0.0298787579,0.03,2.000395e-06,0.0301517277,0.0600304856,3.988242e-06,15051.866361168655
47,63.04379609999978,-0.03,-1.988211e-06,-0.0298781394,0.03,2.00062e-06,0.0301517085,0.0600298479,3.988831e-06,15049.483896409753
48,63.04379609999978,-0.03,-1.988657e-06,-0.0298786463,0.03,2.000259e-06,0.0301523701,0.0600310164,3.9889160000000005e-06,15049.456142972174
49,63.04379609999978,-0.03,-1.988813e-06,-0.0298785782,0.03,2.000219e-06,0.0301519403,0.0600305185,3.9890319999999995e-06,15048.8936915021
50,63.04379609999978,-0.03,-1.9881e-06,-0.0298790692,0.03,2.000007e-06,0.0301513171,0.0600303863,3.988107e-06,15052.350977543983
51,63.04379609999978,-0.03,-1.988877e-06,-0.0298789783,0.03,2.000189e-06,0.0301517793,0.0600307576,3.989066e-06,15048.825364132857
52,63.04379609999978,-0.03,-1.989152e-06,-0.0298786993,0.03,1.999991e-06,0.0301518813,0.060030580599999994,3.989143e-06,15048.490515381372
53,63.04379609999978,-0.03,-1.987884e-06,-0.0298793784,0.03,2.000331e-06,0.0301520902,0.0600314686,3.9882149999999996e-06,15052.214737670864
54,63.04379609999978,-0.03,-1.988115e-06,-0.0298794964,0.03,1.999423e-06,0.0301520212,0.0600315176,3.987537999999999e-06,15054.782575112768
55,63.04379609999978,-0.03,-1.988324e-06,-0.0298786524,0.03,2.000207e-06,0.0301527704,0.0600314228,3.988531e-06,15051.010710459565
56,63.04379609999978,-0.03,-1.988069e-06,-0.0298783224,0.03,2.000017e-06,0.0301531801,0.0600315025,3.988086e-06,15052.710122098671
57,63.04379609999978,-0.03,-1.987487e-06,-0.0298788548,0.03,2.000179e-06,0.0301524213,0.0600312761,3.9876659999999994e-06,15054.238770248063
58,63.04379609999978,-0.03,-1.98805e-06,-0.0298780116,0.03,1.999316e-06,0.0301527082,0.0600307198,3.9873660000000005e-06,15055.231899956008
59,63.04379609999978,-0.03,-1.987736e-06,-0.0298777964,0.03,1.998449e-06,0.0301530701,0.0600308665,3.986185e-06,15059.729164602246
60,63.04379609999978,-0.03,-1.987573e-06,-0.0298776139,0.03,1.998988e-06,0.0301525593,0.060030173199999995,3.986561e-06,15058.13486862486
61,63.04379609999978,-0.03,-1.986682e-06,-0.0298784667,0.03,1.998104e-06,0.0301527522,0.0600312189,3.9847859999999996e-06,15065.104851301929
62,63.04379609999978,-0.03,-1.986514e-06,-0.0298781448,0.03,1.996892e-06,0.0301524828,0.0600306276,3.983406e-06,15070.17552315782
63,63.04379609999978,-0.03,-1.986096e-06,-0.0298779423,0.03,1.998405e-06,0.0301525673,0.060030509600000004,3.984501e-06,15066.004400551035
64,63.04379609999978,-0.03,-1.985158e-06,-0.0298782898,0.03,1.997071e-06,0.0301519536,0.0600302434,3.982229e-06,15074.533232518774
65,63.04379609999978,-0.03,-1.985665e-06,-0.0298775932,0.03,1.996276e-06,0.0301518863,0.060029479499999996,3.9819410000000004e-06,15075.43168017808
66,63.04379609999978,-0.03,-1.98485e-06,-0.0298774787,0.03,1.996673e-06,0.0301518959,0.060029374600000004,3.981523e-06,15076.988026943458
67,63.04379609999978,-0.03,-1.985327e-06,-0.0298769447,0.03,1.997663e-06,0.0301516902,0.0600286349,3.98299e-06,15071.249212275201
68,63.04379609999978,-0.03,-1.98573e-06,-0.0298774038,0.03,1.997186e-06,0.030151813,0.0600292168,3.982916e-06,15071.675325314418
69,63.04379609999978,-0.03,-1.986322e-06,-0.0298769814,0.03,1.998002e-06,0.0301525956,0.060029577,3.984324e-06,15066.439626897813
70,63.04379609999978,-0.03,-1.985995e-06,-0.0298767152,0.03,1.998275e-06,0.0301523183,0.0600290335,3.98427e-06,15066.507415411106
71,63.04379609999978,-0.03,-1.986022e-06,-0.029877314,0.03,1.997768e-06,0.0301524212,0.0600297352,3.98379e-06,15068.498891758854
72,63.04379609999978,-0.03,-1.985867e-06,-0.0298776296,0.03,1.99646e-06,0.0301508048,0.0600284344,3.982327e-06,15073.708010417025
73,63.04379609999978,-0.03,-1.985732e-06,-0.0298774479,0.03,1.996581e-06,0.030151731,0.0600291789,3.982313e-06,15073.947954367224
74,63.04379609999978,-0.03,-1.984799e-06,-0.0298773315,0.03,1.996345e-06,0.0301516752,0.0600290067,3.981144e-06,15078.33092698983
75,63.04379609999978,-0.03,-1.984229e-06,-0.0298764118,0.03,1.994193e-06,0.0301514233,0.060027835099999996,3.978422e-06,15088.352894690406
76,63.04379609999978,-0.03,-1.98361e-06,-0.0298764899,0.03,1.994553e-06,0.0301515452,0.0600280351,3.978163e-06,15089.385502806195
77,63.04379609999978,-0.03,-1.982478e-06,-0.0298776968,0.03,1.993869e-06,0.0301514974,0.0600291942,3.976347e-06,15096.5683326933
78,63.04379609999978,-0.03,-1.98221e-06,-0.0298779296,0.03,1.99388e-06,0.030151177,0.0600291066,3.97609e-06,15097.522088282709
79,63.04379609999978,-0.03,-1.98314e-06,-0.0298778291,0.03,1.994489e-06,0.0301508454,0.060028674500000004,3.977629e-06,15091.572014383444
80,63.04379609999978,-0.03,-1.983559e-06,-0.0298780762,0.03,1.995306e-06,0.0301509171,0.0600289933,3.978864999999999e-06,15086.964071412327
81,63.04379609999978,-0.03,-1.984072e-06,-0.0298776219,0.03,1.995939e-06,0.0301514001,0.060029022,3.980010999999999e-06,15082.627158568157
82,63.04379609999978,-0.03,-1.982992e-06,-0.0298779775,0.03,1.994609e-06,0.0301516411,0.0600296186,3.977601e-06,15091.91560440577
83,63.04379609999978,-0.03,-1.983187e-06,-0.0298780812,0.03,1.994469e-06,0.0301518308,0.060029912000000005,3.9776560000000005e-06,15091.780686917118
84,63.04379609999978,-0.03,-1.982538e-06,-0.0298778899,0.03,1.995012e-06,0.0301518069,0.060029696800000004,3.97755e-06,15092.128772736989
85,63.04379609999978,-0.03,-1.983036e-06,-0.0298782278,0.03,1.995216e-06,0.0301523425,0.0600305703,3.978252e-06,15089.685193396497
86,63.04379609999978,-0.03,-1.983928e-06,-0.0298791141,0.03,1.995315e-06,0.0301522038,0.0600313179,3.979243e-06,15086.115097771108
87,63.04379609999978,-0.03,-1.983592e-06,-0.0298779026,0.03,1.994328e-06,0.0301521124,0.060030015,3.97792e-06,15090.804993564476
88,63.04379609999978,-0.03,-1.982749e-06,-0.0298780648,0.03,1.995442e-06,0.0301520853,0.0600301501,3.978191e-06,15089.810946734333
89,63.04379609999978,-0.03,-1.983079e-06,-0.0298781142,0.03,1.996121e-06,0.0301525332,0.0600306474,3.979200000000001e-06,15086.109620024123
90,63.04379609999978,-0.03,-1.984069e-06,-0.0298786673,0.03,1.995479e-06,0.030152377,0.0600310443,3.979547999999999e-06,15084.890118174228
91,63.04379609999978,-0.03,-1.984023e-06,-0.0298791137,0.03,1.996151e-06,0.0301526161,0.0600317298,3.980174e-06,15082.689802003631
92,63.04379609999978,-0.03,-1.983676e-06,-0.0298788252,0.03,1.996477e-06,0.0301523706,0.0600311958,3.980152999999999e-06,15082.635215279415
93,63.04379609999978,-0.03,-1.984077e-06,-0.0298789431,0.03,1.995342e-06,0.0301526101,0.060031553200000004,3.979419e-06,15085.507004917052
94,63.04379609999978,-0.03,-1.983599e-06,-0.0298791312,0.03,1.995838e-06,0.0301526642,0.0600317954,3.979437e-06,15085.499632234409
95,63.04379609999978,-0.03,-1.984375e-06,-0.0298783454,0.03,1.996498e-06,0.0301527089,0.0600310543,3.980873e-06,15079.871751748926
96,63.04379609999978,-0.03,-1.985147e-06,-0.0298786403,0.03,1.99765e-06,0.030152846,0.0600314863,3.982797e-06,15072.695470042785
97,63.04379609999978,-0.03,-1.986382e-06,-0.0298784793,0.03,1.997562e-06,0.0301525208,0.060031000099999995,3.983944e-06,15068.233915938577
98,63.04379609999978,-0.03,-1.986628e-06,-0.0298778672,0.03,1.998815e-06,0.0301528353,0.060030702500000005,3.985443e-06,15062.49179827688
99,63.04379609999978,-0.03,-1.986678e-06,-0.029878749,0.03,1.998576e-06,0.0301519379,0.0600306869,3.985254e-06,15063.202219983972
100,63.04379609999978,-0.03,-1.986712e-06,-0.0298780253,0.03,1.99695e-06,0.0301523061,0.0600303314,3.983662e-06,15069.132722605482
101,63.04379609999978,-0.03,-1.986403e-06,-0.0298780795,0.03,1.99733e-06,0.0301522854,0.0600303649,3.983733e-06,15068.872562493521
102,63.04379609999978,-0.03,-1.984996e-06,-0.0298780683,0.03,1.996995e-06,0.0301523954,0.0600304637,3.9819910000000005e-06,15075.489547816656
103,63.04379609999978,-0.03,-1.984402e-06,-0.0298778292,0.03,1.996494e-06,0.030152432,0.060030261200000004,3.980896e-06,15079.585399869778
104,63.04379609999978,-0.03,-1.984135e-06,-0.0298782329,0.03,1.995544e-06,0.030151796,0.060030028900000004,3.979679e-06,15084.138419204162
105,63.04379609999978,-0.03,-1.983391e-06,-0.0298785485,0.03,1.995279e-06,0.0301517976,0.0600303461,3.978669999999999e-06,15088.043517054697
106,63.04379609999978,-0.03,-1.983082e-06,-0.0298784385,0.03,1.995882e-06,0.0301516366,0.0600300751,3.978964e-06,15086.860574762675
107,63.04379609999978,-0.03,-1.984468e-06,-0.029879065,0.03,1.995464e-06,0.0301523475,0.0600314125,3.979932e-06,15083.527180866407
108,63.04379609999978,-0.03,-1.983872e-06,-0.0298773593,0.03,1.99562e-06,0.0301515218,0.0600288811,3.9794919999999995e-06,15084.558808008662
109,63.04379609999978,-0.03,-1.984117e-06,-0.0298783987,0.03,1.996106e-06,0.0301522558,0.0600306545,3.980223e-06,15082.233960258007
110,63.04379609999978,-0.03,-1.98429e-06,-0.0298781616,0.03,1.995971e-06,0.0301520773,0.060030238900000005,3.980261e-06,15081.985553208699
111,63.04379609999978,-0.03,-1.983705e-06,-0.0298795803,0.03,1.995885e-06,0.0301521777,0.060031758000000005,3.97959e-06,15084.910254573964
112,63.04379609999978,-0.03,-1.984831e-06,-0.0298787275,0.03,1.996324e-06,0.0301520646,0.0600307921,3.981155e-06,15078.737728121612
113,63.04379609999978,-0.03,-1.984716e-06,-0.0298786749,0.03,1.996616e-06,0.030151682,0.0600303569,3.9813319999999995e-06,15077.958055243824
114,63.04379609999978,-0.03,-1.984827e-06,-0.0298784007,0.03,1.995762e-06,0.0301520901,0.0600304908,3.980589e-06,15080.806081713032
115,63.04379609999978,-0.03,-1.984593e-06,-0.0298787233,0.03,1.995725e-06,0.0301518627,0.060030586,3.980318e-06,15081.856776267625
116,63.04379609999978,-0.03,-1.9849e-06,-0.0298791043,0.03,1.996781e-06,0.030151461,0.060030565300000005,3.981681e-06,15076.688790488239
117,63.04379609999978,-0.03,-1.985243e-06,-0.0298789624,0.03,1.996449e-06,0.0301512729,0.0600302353,3.981692e-06,15076.564259616263
118,63.04379609999978,-0.03,-1.985646e-06,-0.029879286,0.03,1.996793e-06,0.0301521401,0.0600314261,3.982439e-06,15074.0353085132
119,63.04379609999978,-0.03,-1.985752e-06,-0.0298788652,0.03,1.997017e-06,0.0301517703,0.0600306355,3.9827690000000004e-06,15072.587815160758
