nplc,rounds,total_pairs,median_pairs_per_round,median_pairs_per_s,median_of_block_medians_ohm,span_of_block_medians_ohm,median_block_sem_ohm,median_block_mad_sigma_ohm,median_block_span_ohm,eff_sem_ohm_sqrt_s
0.1,1,252,252.0,8.376210612556482,14761.961872760552,0.0,95.87349965932601,1177.7379848378994,9053.52719515012,525.8659568558363
0.3,1,239,239.0,7.941901145122934,14694.08716310767,0.0,64.67073004148364,825.2299757283789,4962.647918387624,354.7680293052786
1.0,1,179,179.0,5.958649918927931,14739.85111400557,0.0,5.3955232633116905,4.599112551377457,973.87525492229,29.5723712426542
2.0,2,211,105.5,3.502210166398909,14340.444882724536,10.547388415363457,24.771280548756536,309.48284262820164,673.1692958691419,135.9573331756261
3.0,1,51,51.0,1.675696072813063,14738.286837537093,0.0,0.3484753397718811,1.9442938716005163,13.393116928935342,1.922469738582788
5.0,2,66,33.0,1.0917538175538524,14740.367503443482,1.9137642700316064,0.6263886326849585,4.1477969860383475,14.903956112467313,3.4438045601682132
10.0,1,18,18.0,0.583065868332439,14740.073522129709,0.0,0.4282148010299463,2.1332359722305756,5.781321238671808,2.3792447368739333
