nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0.1,34,2.184495400000742,-0.03,-2.05425e-06,-0.0298420853,0.03,2.198002e-06,0.0301304447,0.05997253,4.252252e-06,14103.710222253996
0.1,35,2.184495400000742,-0.03,-2.096132e-06,-0.0300453815,0.03,2.16868e-06,0.0301076104,0.060152991899999994,4.264812e-06,14104.488521416653
0.1,36,2.184495400000742,-0.03,-1.813735e-06,-0.0297298271,0.03,1.859209e-06,0.0301822105,0.0599120376,3.672944e-06,16311.720951912146
0.1,37,2.184495400000742,-0.03,-2.102502e-06,-0.0299337808,0.03,2.073437e-06,0.0301611694,0.0600949502,4.175939e-06,14390.76341871852
0.1,38,2.184495400000742,-0.03,-2.222236e-06,-0.0298817164,0.03,1.835531e-06,0.0300179468,0.0598996632,4.057767e-06,14761.730577433353
0.1,39,2.184495400000742,-0.03,-1.827994e-06,-0.0299169839,0.03,2.125791e-06,0.0302970396,0.0602140235,3.953785e-06,15229.463286445773
0.1,40,2.184495400000742,-0.03,-1.935217e-06,-0.0298274403,0.03,2.368693e-06,0.0301508282,0.0599782685,4.30391e-06,13935.762713439639
0.1,41,2.184495400000742,-0.03,-1.988396e-06,-0.0299408343,0.03,1.598027e-06,0.0301490947,0.060089929,3.5864230000000005e-06,16754.835946568488
0.1,42,2.184495400000742,-0.03,-1.973536e-06,-0.0298129747,0.03,1.77051e-06,0.0301635007,0.0599764754,3.744046e-06,16019.160929112515
0.1,43,2.184495400000742,-0.03,-2.533633e-06,-0.0300404201,0.03,2.107627e-06,0.0301419216,0.0601823417,4.64126e-06,12966.81110301944
0.1,44,2.184495400000742,-0.03,-1.410865e-06,-0.0299250536,0.03,1.990141e-06,0.0300646914,0.059989745,3.401006e-06,17638.82363041994
0.1,45,2.184495400000742,-0.03,-1.749922e-06,-0.0299017412,0.03,2.578482e-06,0.0302808404,0.06018258160000001,4.328404e-06,13904.10451519775
0.1,46,2.184495400000742,-0.03,-2.12638e-06,-0.0298968994,0.03,1.420728e-06,0.0300024051,0.0598993045,3.5471079999999997e-06,16886.800317328936
0.1,47,2.184495400000742,-0.03,-1.762241e-06,-0.0299204509,0.03,1.580401e-06,0.0301357647,0.060056215600000004,3.342642e-06,17966.690898995468
0.1,48,2.184495400000742,-0.03,-2.188813e-06,-0.0299306127,0.03,2.405988e-06,0.0301352267,0.0600658394,4.594801e-06,13072.566015372593
0.1,49,2.184495400000742,-0.03,-1.742869e-06,-0.0298444763,0.03,1.591179e-06,0.0301461358,0.0599906121,3.3340480000000002e-06,17993.325860935412
0.1,50,2.184495400000742,-0.03,-1.375473e-06,-0.029923363,0.03,2.133604e-06,0.0301941927,0.060117555700000005,3.509077e-06,17132.01383155742
0.1,51,2.184495400000742,-0.03,-2.552763e-06,-0.0298473331,0.03,1.851862e-06,0.0300469737,0.059894306800000005,4.404625e-06,13598.049050713738
0.1,52,2.184495400000742,-0.03,-1.393968e-06,-0.0299219882,0.03,1.718131e-06,0.03018176,0.0601037482,3.112099e-06,19312.92937660402
0.1,53,2.184495400000742,-0.03,-2.10629e-06,-0.02997656,0.03,2.574545e-06,0.030189112,0.060165672,4.680835e-06,12853.61949310326
0.1,54,2.184495400000742,-0.03,-1.501891e-06,-0.0298110515,0.03,1.654709e-06,0.0301586282,0.0599696797,3.1566e-06,18998.187828676426
0.1,55,2.184495400000742,-0.03,-1.638595e-06,-0.0299114683,0.03,2.425565e-06,0.0302485256,0.0601599939,4.06416e-06,14802.565327152475
0.1,56,2.184495400000742,-0.03,-2.254622e-06,-0.0298557609,0.03,1.461537e-06,0.0299766218,0.0598323827,3.7161590000000004e-06,16100.598144481975
0.1,57,2.184495400000742,-0.03,-1.757626e-06,-0.029901068,0.03,1.555072e-06,0.0301320893,0.0600331573,3.312698e-06,18122.134073193512
0.1,58,2.184495400000742,-0.03,-2.161337e-06,-0.029918641,0.03,2.401734e-06,0.0301507383,0.0600693793,4.563070999999999e-06,13164.243839291566
0.1,59,2.184495400000742,-0.03,-1.757691e-06,-0.029856,0.03,1.577688e-06,0.0300684319,0.059924431900000005,3.3353790000000003e-06,17966.303649450332
0.3,0,3.555086399999709,-0.03,-1.809766e-06,-0.029892334,0.03,2.292668e-06,0.0301368177,0.0600291517,4.1024339999999996e-06,14632.569762243586
0.3,1,3.555086399999709,-0.03,-2.336526e-06,-0.0298799329,0.03,1.95558e-06,0.0300862404,0.059966173299999995,4.292106e-06,13971.270350732251
0.3,2,3.555086399999709,-0.03,-1.608174e-06,-0.0298752466,0.03,2.03966e-06,0.0301400694,0.060015316,3.6478339999999997e-06,16452.315538481194
0.3,3,3.555086399999709,-0.03,-2.313227e-06,-0.0298952032,0.03,2.040209e-06,0.0300979722,0.0599931754,4.353436e-06,13780.64944563329
0.3,4,3.555086399999709,-0.03,-1.734475e-06,-0.0298403384,0.03,1.629093e-06,0.0301369612,0.0599772996,3.3635680000000003e-06,17831.45148247337
0.3,5,3.555086399999709,-0.03,-2.315575e-06,-0.029879885,0.03,2.310546e-06,0.0301537299,0.0600336149,4.6261210000000004e-06,12977.095692049557
0.3,6,3.555086399999709,-0.03,-1.855174e-06,-0.0298545248,0.03,1.62309e-06,0.0301211966,0.0599757214,3.478264e-06,17243.004383796055
0.3,7,3.555086399999709,-0.03,-1.789693e-06,-0.0299204997,0.03,2.311056e-06,0.0301271581,0.0600476578,4.100749e-06,14643.09515164181
0.3,8,3.555086399999709,-0.03,-2.018601e-06,-0.0298705124,0.03,1.630829e-06,0.0301290709,0.0599995833,3.6494299999999997e-06,16440.809468875963
0.3,9,3.555086399999709,-0.03,-1.799838e-06,-0.0299201171,0.03,2.111012e-06,0.0301754401,0.0600955572,3.91085e-06,15366.367209174476
0.3,10,3.555086399999709,-0.03,-2.050484e-06,-0.0298910429,0.03,1.853054e-06,0.0301149801,0.060006023000000006,3.903538e-06,15372.214386026217
0.3,11,3.555086399999709,-0.03,-1.650867e-06,-0.0298890664,0.03,2.009255e-06,0.0301881282,0.0600771946,3.660122e-06,16413.98691081882
0.3,12,3.555086399999709,-0.03,-2.334905e-06,-0.0299051815,0.03,1.860589e-06,0.0301504623,0.0600556438,4.195493999999999e-06,14314.320030013156
0.3,13,3.555086399999709,-0.03,-1.615831e-06,-0.0298952829,0.03,1.944499e-06,0.0301806046,0.0600758875,3.56033e-06,16873.685164015697
0.3,14,3.555086399999709,-0.03,-2.311429e-06,-0.0299204837,0.03,2.309543e-06,0.0301411055,0.0600615892,4.620972e-06,12997.609420701963
0.3,15,3.555086399999709,-0.03,-1.624332e-06,-0.0299027746,0.03,1.819497e-06,0.0301705146,0.060073289200000005,3.443829e-06,17443.749152469532
0.3,16,3.555086399999709,-0.03,-2.315835e-06,-0.0299075406,0.03,2.248997e-06,0.0301084447,0.060015985300000005,4.564832e-06,13147.46858153816
0.3,17,3.555086399999709,-0.03,-1.940765e-06,-0.0298357158,0.03,1.825335e-06,0.030124815,0.059960530799999995,3.7661e-06,15921.120203924484
0.3,18,3.555086399999709,-0.03,-2.124602e-06,-0.0299225719,0.03,2.309185e-06,0.0301410896,0.060063661500000004,4.433787e-06,13546.808067234624
0.3,19,3.555086399999709,-0.03,-1.912346e-06,-0.0298286226,0.03,1.636097e-06,0.0301196186,0.0599482412,3.548443e-06,16894.238177138537
0.3,20,3.555086399999709,-0.03,-2.118405e-06,-0.0298852727,0.03,2.356147e-06,0.0301302345,0.0600155072,4.474552e-06,13412.629286686131
0.3,21,3.555086399999709,-0.03,-2.011941e-06,-0.0298360506,0.03,1.641837e-06,0.0301084128,0.0599444634,3.653778e-06,16406.159159095052
0.3,22,3.555086399999709,-0.03,-1.672483e-06,-0.0298827558,0.03,2.340441e-06,0.0301256229,0.060008378700000004,4.012924e-06,14953.779015002528
0.3,23,3.555086399999709,-0.03,-2.276551e-06,-0.0298994295,0.03,1.68127e-06,0.0300873975,0.059986827000000006,3.957821e-06,15156.528554474799
0.3,24,3.555086399999709,-0.03,-1.629169e-06,-0.0298817834,0.03,1.878622e-06,0.0301682797,0.0600500631,3.507791e-06,17119.05387179567
0.3,25,3.555086399999709,-0.03,-1.732194e-06,-0.0298857526,0.03,2.079102e-06,0.0301685347,0.060054287299999995,3.811296e-06,15756.920296927867
0.3,26,3.555086399999709,-0.03,-2.300965e-06,-0.0298900406,0.03,1.980158e-06,0.0300924028,0.0599824434,4.281123e-06,14010.913351473435
0.3,27,3.555086399999709,-0.03,-1.657852e-06,-0.0298598335,0.03,2.067356e-06,0.0301515581,0.0600113916,3.7252079999999997e-06,16109.541158507123
0.3,28,3.555086399999709,-0.03,-2.328382e-06,-0.0298891639,0.03,2.006047e-06,0.0300899161,0.059979080000000004,4.334429e-06,13837.82731243262
0.3,29,3.555086399999709,-0.03,-1.649393e-06,-0.0298623839,0.03,1.697421e-06,0.0301501872,0.0600125711,3.346814e-06,17931.253753569814
0.3,30,3.555086399999709,-0.03,-2.323132e-06,-0.029871725,0.03,2.275847e-06,0.0301482584,0.0600199834,4.598979e-06,13050.719170494145
0.3,31,3.555086399999709,-0.03,-1.78291e-06,-0.0298476869,0.03,1.658565e-06,0.0301281415,0.0599758284,3.441475e-06,17427.361349421397
0.3,32,3.555086399999709,-0.03,-1.884e-06,-0.0299270383,0.03,2.339589e-06,0.030145947,0.0600729853,4.223589e-06,14223.208105712938
0.3,33,3.555086399999709,-0.03,-2.197858e-06,-0.0298652213,0.03,1.660429e-06,0.0301162817,0.059981503000000005,3.858286999999999e-06,15546.148588738995
0.3,34,3.555086399999709,-0.03,-1.677941e-06,-0.0298951415,0.03,2.000551e-06,0.0301979449,0.060093086399999995,3.6784920000000002e-06,16336.33739043064
0.3,35,3.555086399999709,-0.03,-2.206116e-06,-0.0299035899,0.03,1.881158e-06,0.0301131096,0.0600166995,4.0872739999999995e-06,14683.796461896121
0.3,36,3.555086399999709,-0.03,-1.646996e-06,-0.0298891001,0.03,2.010109e-06,0.0301842042,0.0600733043,3.657105e-06,16426.464184101904
0.3,37,3.555086399999709,-0.03,-2.307087e-06,-0.0299121499,0.03,1.894648e-06,0.0301276154,0.0600397653,4.201735e-06,14289.279381017604
0.3,38,3.555086399999709,-0.03,-1.610985e-06,-0.0298893073,0.03,1.902467e-06,0.0301772063,0.060066513599999996,3.513452e-06,17096.15318495884
0.3,39,3.555086399999709,-0.03,-2.314667e-06,-0.0299263847,0.03,2.305867e-06,0.0301402403,0.060066625,4.6205340000000006e-06,12999.931393211258
0.3,40,3.555086399999709,-0.03,-1.609312e-06,-0.0299029204,0.03,1.714859e-06,0.0301557982,0.060058718600000005,3.324171e-06,18067.27710457735
0.3,41,3.555086399999709,-0.03,-2.206196e-06,-0.0299370011,0.03,2.309459e-06,0.0301579343,0.0600949354,4.515655e-06,13308.132574344143
0.3,42,3.555086399999709,-0.03,-2.044486e-06,-0.0298551629,0.03,1.710944e-06,0.030156659,0.0600118219,3.75543e-06,15980.013447195128
0.3,43,3.555086399999709,-0.03,-2.016784e-06,-0.0299110022,0.03,2.3414e-06,0.030147015,0.0600580172,4.358184e-06,13780.514361027439
